text,disease
"Over the last 48 hours, I noticed pain behind the eyes and skin rash.",Dengue Fever
Feeling fever,Rabies Exposure
"Feeling increased thirst, frequent nighttime urination, slow-healing cuts",Diabetes Type 2
Feeling skin warm to touch,Cellulitis
Experiencing anxiety,Hyperthyroidism
I have sudden shortness of breath,Pulmonary Embolism
I cannot sleep because of unintended weight loss and anxiety.,Hyperthyroidism
"I've been dealing with vomiting, muscle cramps and low blood pressure and it is getting worse.",Cholera
Lately I have been feeling fluid-filled blisters on one side of body and fever.,Shingles
Experiencing acute excruciating pain around one eye and tearing.,Cluster Headache
Feeling feeling of incomplete evacuation,Constipation
Feeling bone fractures easily,Osteoporosis
"I have chronic lower back pain and stiffness, pain worse in mornings and improves with exercise and reduced spine flexibility, what could this be?",Ankylosing Spondylitis
"Clinical notes: Patient presenting with fatigue, nausea, dark urine and pale stools.",Hepatitis A
"Noticed severe facial redness across cheeks and nose, visible broken blood vessels, swollen red bumps resembling acne",Rosacea
"I have severe upper abdominal pain radiating to back, nausea, vomiting",Pancreatitis
"Over the last 48 hours, I noticed weight gain around abdomen and high blood pressure.",Cushing's Syndrome
Lately I have been feeling hand weakness and dropping objects.,Carpal Tunnel Syndrome
"Feeling dull aching head pain, tightness across forehead, neck stiffness",Tension Headache
"Been having pain radiating to left arm neck or jaw, shortness of breath, dizziness",Heart Attack
"Patient presenting with sharp chest pain on breathing, coughing blood, dizziness",Pulmonary Embolism
"I have facial pain, thick nasal discharge, headache and reduced smell, what could this be?",Sinusitis
"Clinical notes: Patient presenting with gas, alternating diarrhea and constipation and food intolerance.",Irritable Bowel Syndrome
"Woke up today with frequent sneezing, itchy watery eyes and clear runny nose.",Allergic Rhinitis
"Noticed severe high fever, chest pain, shortness of breath",Pneumonia
Experiencing chest pain,Tuberculosis
"My main issues right now are sharp lower right abdominal pain, low-grade fever and loss of appetite.",Appendicitis
Feeling mild headache,Common Cold
"Suffering from rapid heart rate, heat intolerance, trembling hands",Hyperthyroidism
"Been having nausea, vomiting, loss of appetite",Appendicitis
Experiencing burning sensation,Contact Dermatitis
"Feeling facial pain, nasal congestion, reduced smell",Sinusitis
I feel terrible with chronic fatigue and jaundice.,Hepatitis C
Experiencing unsteady balance,Vitamin B12 Deficiency
Experiencing chronic physical fatigue,Chronic Stress / Burnout
"I feel terrible with tingling in hands and feet, fatigue, memory problems and pale or jaundiced skin.",Vitamin B12 Deficiency
Woke up today with chronic fatigue and hair loss.,Vitamin D Deficiency
Experiencing severe nausea,Heart Attack
"Over the last 48 hours, I noticed chronic fatigue, joint aches and mild upper right abdominal discomfort.",Hepatitis C
"I'm experiencing tingling in face or hands, throbbing head pain and light sensitivity.",Migraine with Aura
"Patient reports chest tightness during activity, fainting or dizziness upon standing, heart murmur and fatigue with increasing discomfort.",Aortic Stenosis
"Woke up today with irregular heartbeat, confusion, dizziness and extreme fatigue.",Electrolyte Imbalance
"I cannot sleep because of yellowing of skin and eyes, dark urine and nausea.",Hepatitis B
Feeling cloudy urine,Urinary Tract Infection
I've been dealing with joint swelling and muscle pain and it is getting worse.,Chikungunya
I cannot sleep because of itchy fluid-filled blisters and loss of appetite.,Chickenpox
"Suffering from tender warm swollen joints, symmetrical joint pain in both hands and fever, need medical guidance.",Rheumatoid Arthritis
Feeling frequent infections,Vitamin D Deficiency
"Doctor, I've had chills, body ache, dry cough",Influenza
"My main issues right now are abrupt high fever, rash and headache.",Chikungunya
"Woke up today with upper abdominal pain, burning stomach and bloating.",Gastritis
It started yesterday with extreme fatigue and dizziness.,Addison's Disease
"I have nasal congestion, headache and reduced smell, what could this be?",Sinusitis
Experiencing body ache,Influenza
"My main issues right now are loss of interest in hobbies, changes in appetite or weight, feelings of worthlessness and difficulty sleeping.",Major Depressive Disorder
"Noticed severe flank pain on one side, shivering chills, nausea",Pyelonephritis
"I have rapid dehydration, muscle cramps and low blood pressure, what could this be?",Cholera
I have unintended weight loss,Diabetes Type 1
"Doctor, I've had cyclical high fever, profuse sweating, fatigue",Malaria
Woke up today with loss of appetite and rebound tenderness.,Appendicitis
It started yesterday with chest pressure on exertion and pain radiating to jaw or left arm.,Coronary Artery Disease
Woke up today with dizziness and blurred vision.,Hypertension
"Feeling persistent cough, mild fever, fatigue",Bronchitis
I cannot sleep because of sound sensitivity and visual aura.,Migraine
"I've been dealing with high fever, chest pain and chills and it is getting worse.",Pneumonia
I have iron deficiency,Celiac Disease
"Woke up today with red skin patches covered with thick silvery scales, dry cracked skin that may bleed, itching or burning skin and pitted thickened nails.",Psoriasis
"Experiencing acute vomiting, muscle cramps and sunken eyes.",Cholera
"Suffering from hoarseness, loss of voice and dry cough, need medical guidance.",Laryngitis
"I'm experiencing dry cough, shortness of breath and sore throat.",COVID-19
I have shortness of breath with exertion,COPD
"Lately I have been feeling headache, body ache and fatigue.",Malaria
"Doctor, I've had persistent cough, chest discomfort, fatigue",Bronchitis
"Noticed severe fluttering in chest, racing heartbeat, dizziness",Arrhythmia
"I have extreme thirst, frequent urination, blurred vision",Diabetes Type 1
Clinical notes: Patient presenting with watery diarrhea and vomiting.,Gastroenteritis
Patient reports shortness of breath with exertion and excess sputum with increasing discomfort.,COPD
"Feeling recurrent abdominal cramps, mouth sores, rectal bleeding",Crohn's Disease
Feeling shortness of breath,Angina Pectoris
I have unsteady balance,Vitamin B12 Deficiency
"Noticed severe nasal congestion, headache, pressure around eyes",Sinusitis
Woke up today with rectal pain and fever.,Ulcerative Colitis
"Been having upper abdominal pain, nausea, loss of appetite",Gastritis
"Clinical notes: Patient presenting with chronic diarrhea, fatigue and skin rash.",Celiac Disease
"Noticed severe dry cough, loss of taste or smell, sore throat",COVID-19
"Lately I have been feeling bloody diarrhea, cramping abdominal pain, rectal pain and fever.",Ulcerative Colitis
"Lately I have been feeling persistent cough, mucus production and mild fever.",Bronchitis
Experiencing acute heat intolerance and anxiety.,Hyperthyroidism
"I cannot sleep because of chronic diarrhea, weight loss, skin rash and iron deficiency.",Celiac Disease
"Clinical notes: Patient presenting with high fever, cough, runny nose and red watery eyes.",Measles
"Clinical notes: Patient presenting with purple stretch marks, easy bruising and muscle weakness.",Cushing's Syndrome
"Woke up today with facial pain, nasal congestion, thick nasal discharge and pressure around eyes.",Sinusitis
"Been having irregular periods, excess facial hair, ovarian cysts",Polycystic Ovary Syndrome
"Over the last 48 hours, I noticed fatigue, dark urine and yellowing of skin and eyes.",Hepatitis A
"Lately I have been feeling numbness in leg or foot, tingling in toes and pain worse when sitting.",Sciatica
"I have crushing chest pain, pain radiating to left arm neck or jaw, cold sweat and severe nausea, what could this be?",Heart Attack
"Doctor, I've had watery diarrhea, stomach cramps, mild fever",Gastroenteritis
"Been having cold intolerance, constipation, muscle weakness",Hypothyroidism
"I feel terrible with extreme thirst, unintended weight loss and extreme hunger.",Diabetes Type 1
"Feeling waking up during the night, waking up too early, irritability",Insomnia Disorder
"Experiencing chronic cough, shortness of breath with exertion, excess sputum",COPD
Feeling difficulty falling asleep,Insomnia Disorder
I have weight gain around abdomen,Cushing's Syndrome
"Been having breathlessness with exercise, chest tightness during activity, fainting or dizziness upon standing",Aortic Stenosis
"Over the last 48 hours, I noticed extreme fatigue, hyperpigmentation (darkened skin), salt cravings and dizziness.",Addison's Disease
"My main issues right now are widespread musculoskeletal pain, sleep disturbances and tender trigger points.",Fibromyalgia
Experiencing headache,Influenza
"Been having fatigue, mouth sores, rectal bleeding",Crohn's Disease
Feeling fatigue,Pneumonia
"Clinical notes: Patient presenting with nausea, vomiting, low-grade fever and loss of appetite.",Appendicitis
I have blurred vision after reading,Dry Eye Syndrome
"I'm experiencing visual flashes, blind spots, throbbing head pain and nausea.",Migraine with Aura
"Been having gasping for air during sleep, morning headache, dry mouth on waking",Sleep Apnea
Feeling reduced spine flexibility,Ankylosing Spondylitis
"I have easy bruising, high blood pressure, muscle weakness",Cushing's Syndrome
"Suffering from dull aching head pain, scalp tenderness, shoulder tension",Tension Headache
"Experiencing corkscrew body hair, bruising easily, slow wound healing",Scurvy
Feeling shortness of breath with exertion,COPD
Experiencing rose-colored rash,Typhoid Fever
I'm experiencing poor appetite and nausea.,Hepatitis B
"Feeling intense skin itching, red to brownish-gray patches, small raised bumps",Eczema
"Experiencing hyperpigmentation (darkened skin), low blood pressure, nausea",Addison's Disease
"Doctor, I've had persistent sad empty mood, changes in appetite or weight and feelings of worthlessness for the past few days.",Major Depressive Disorder
"I have severe headache and skin rash, what could this be?",Dengue Fever
Experiencing trembling,Postural Orthostatic Tachycardia (POTS)
"Doctor, I've had dizziness, shortness of breath, nosebleeds and chest tightness for the past few days.",Hypertension
"Noticed severe itchy watery eyes, clear runny nose, itchy roof of mouth",Allergic Rhinitis
I have bumps and blisters,Contact Dermatitis
"Suffering from extreme thirst, dry mouth, dizziness upon standing",Dehydration
Experiencing agitation,Rabies Exposure
"Suffering from sudden one-sided facial paralysis, drooping mouth, loss of taste",Bell's Palsy
"Noticed severe cramping abdominal pain, rectal pain, weight loss",Ulcerative Colitis
I have bleeding gums,Thrombocytopenia
"I've been dealing with night sweats, unexplained weight loss, chest pain and fever and it is getting worse.",Tuberculosis
"I'm experiencing bruising easily, joint and muscle aches, fatigue and slow wound healing.",Scurvy
"Over the last 48 hours, I noticed chronic lower back pain and stiffness, reduced spine flexibility and fatigue.",Ankylosing Spondylitis
"Feeling red sores around nose and mouth, sores rupture and form honey-colored crusts, painless sores",Impetigo
"Patient reports persistent cough, mucus production, chest discomfort and mild fever with increasing discomfort.",Bronchitis
I have scratchy feeling,Dry Eye Syndrome
I have fever,Pleural Effusion
"Patient reports wheezing, persistent cough and difficulty breathing with increasing discomfort.",Asthma
Feeling red rash localized to area of contact,Contact Dermatitis
"Noticed severe tingling sensations, extreme sensitivity to touch, muscle weakness",Peripheral Neuropathy
Feeling mild swelling,Tendinitis
"Clinical notes: Patient presenting with numbness in limbs, tremor, vision loss in one eye and unsteady gait.",Multiple Sclerosis
I've been dealing with emotional exhaustion and digestive upset and it is getting worse.,Chronic Stress / Burnout
"I feel terrible with restlessness, muscle tension and difficulty concentrating.",Generalized Anxiety Disorder
Experiencing vomiting,Pancreatitis
It started yesterday with chronic fatigue and joint aches.,Hepatitis C
"I've been dealing with animal bite on skin, tingling around bite site, fever and headache and it is getting worse.",Rabies Exposure
Patient reports joint pain during or after movement and grating sensation with increasing discomfort.,Osteoarthritis
Feeling petechiae (superficial pinpoint purple spots on skin),Thrombocytopenia
"My main issues right now are cloudy or blurry vision, poor night vision and frequent eyeglasses changes.",Cataract
"Suffering from excruciating pain around one eye, tearing, restlessness",Cluster Headache
"I have severe crippling joint pain and headache, what could this be?",Chikungunya
"Patient presenting with fever, severe sore throat, enlarged spleen",Mononucleosis
"Doctor, I've had frequent urge to urinate, pelvic pressure, strong smelling urine",Urinary Tract Infection
I have abdominal pain,Hepatitis A
"Noticed severe extreme thirst, unintended weight loss, extreme hunger",Diabetes Type 1
Experiencing fatigue,Diabetes Type 1
"Doctor, I've had numbness and tingling in thumb index and middle fingers, hand weakness and dropping objects for the past few days.",Carpal Tunnel Syndrome
Feeling mild upper right abdominal discomfort,Hepatitis C
"Been having irregular periods, excess facial hair, weight gain",Polycystic Ovary Syndrome
Feeling scaly skin,Fungal Skin Infection
"Lately I have been feeling hyperpigmentation (darkened skin), nausea and dizziness.",Addison's Disease
"Suffering from abdominal cramping, alternating diarrhea and constipation and food intolerance, need medical guidance.",Irritable Bowel Syndrome
I have pressure around eyes,Sinusitis
"Over the last 48 hours, I noticed chronic cough, wheezing and fatigue.",COPD
"I have fever, loss of taste or smell, shortness of breath",COVID-19
Experiencing nausea,Pyelonephritis
"I feel terrible with muscle stiffness, slow movement, impaired balance and soft voice.",Parkinson's Disease
"Patient reports throbbing headache, light sensitivity and dizziness with increasing discomfort.",Migraine
I feel terrible with vomiting and mild fever.,Gastroenteritis
"Feeling sharp lower right abdominal pain, low-grade fever, loss of appetite",Appendicitis
My main issues right now are recurrent abdominal cramps and persistent diarrhea.,Crohn's Disease
My main issues right now are profuse watery diarrhea and low blood pressure.,Cholera
I have blurred vision,Hypoglycemia
"Lately I have been feeling light sensitivity, visual aura and dizziness.",Migraine
Experiencing fever,Pleural Effusion
"Suffering from foamy urine, facial puffiness in mornings, swollen ankles",Glomerulonephritis
I feel terrible with vision loss in one eye and fatigue.,Multiple Sclerosis
"Experiencing unintended weight loss, heat intolerance, trembling hands",Hyperthyroidism
"I'm experiencing cough with phlegm, chills, fatigue and rapid breathing.",Pneumonia
"Suffering from sharp ear pain, fluid draining from ear, irritability",Otitis Media
"Doctor, I've had coughing blood and chest pain for the past few days.",Tuberculosis
"I'm experiencing bone pain, frequent infections, chronic fatigue and low mood.",Vitamin D Deficiency
"Doctor, I've had persistent diarrhea and rectal bleeding for the past few days.",Crohn's Disease
Feeling shoulder tension,Tension Headache
I've been dealing with chronic diarrhea and fatigue and it is getting worse.,Celiac Disease
"Patient reports pounding racing heart, trembling, feeling of choking and fear of losing control with increasing discomfort.",Panic Disorder
"Doctor, I've had shortness of breath and pain radiating to jaw or left arm for the past few days.",Coronary Artery Disease
"Suffering from high blood pressure, facial puffiness in mornings and swollen ankles, need medical guidance.",Glomerulonephritis
"Feeling high fever, runny nose, tiny white spots inside mouth",Measles
"Over the last 48 hours, I noticed mild chronic anemia, pale appearance and microcytic red blood cells on lab work.",Thalassemia Minor
"Noticed severe squeezing chest pain with physical exertion, pressure in chest relieved by rest, shortness of breath",Angina Pectoris
Clinical notes: Patient presenting with shakiness and confusion.,Hypoglycemia
"Patient presenting with fever, tiredness, red spots on skin",Chickenpox
I have bloating,Diverticulitis
"I cannot sleep because of irregular periods, thinning hair on scalp and weight gain.",Polycystic Ovary Syndrome
"Doctor, I've had severe sharp flank pain, pain radiating to lower abdomen and groin, painful urination",Kidney Stones
"Experiencing bullseye skin rash, chills, stiff neck",Lyme Disease
"Feeling bloody diarrhea, cramping abdominal pain, rectal pain",Ulcerative Colitis
"Suffering from shivering chills, headache, fatigue",Malaria
I have loss of balance,Stroke
"Experiencing resting tremor, muscle stiffness, shuffling gait",Parkinson's Disease
I've been dealing with chronic cough and shortness of breath with exertion and it is getting worse.,COPD
Experiencing acute crushing chest pain and cold sweat.,Heart Attack
"I'm experiencing cynicism and detachment, chronic physical fatigue and digestive upset.",Chronic Stress / Burnout
"Experiencing flank pain on one side, shivering chills, painful frequent urination",Pyelonephritis
"My main issues right now are dizziness on standing, extreme fatigue and palpitations.",Postural Orthostatic Tachycardia (POTS)
"Over the last 48 hours, I noticed persistent fatigue and loss of appetite.",Chronic Kidney Disease
"I feel terrible with extreme thirst, extreme hunger and fatigue.",Diabetes Type 1
"Experiencing acute muscle cramps and spasms, irregular heartbeat and extreme fatigue.",Electrolyte Imbalance
"I have rapid heart rate and heat intolerance, what could this be?",Hyperthyroidism
"I have irregular periods, severe acne, weight gain",Polycystic Ovary Syndrome
I have red swollen tender skin area,Cellulitis
Experiencing indigestion after fatty meals,Gallstones
"Woke up today with bullseye skin rash, fever, fatigue and body aches.",Lyme Disease
"I cannot sleep because of cough, runny nose and tiny white spots inside mouth.",Measles
"It started yesterday with nausea, loss of appetite and metallic taste in mouth.",Chronic Kidney Disease
Lately I have been feeling fainting or dizziness upon standing and heart murmur.,Aortic Stenosis
"Feeling severe acne, thinning hair on scalp, weight gain",Polycystic Ovary Syndrome
Woke up today with sweating and fear of losing control.,Panic Disorder
"Clinical notes: Patient presenting with persistent cough, chest discomfort, mild fever and fatigue.",Bronchitis
Experiencing constipation,Diverticulitis
"Patient presenting with faded colors, poor night vision, frequent eyeglasses changes",Cataract
"I have tiredness, headache and red spots on skin, what could this be?",Chickenpox
"Feeling blind spots, tingling in face or hands, throbbing head pain",Migraine with Aura
"I've been dealing with fever, fatigue, body aches and swollen lymph nodes and it is getting worse.",Lyme Disease
Experiencing irregular heartbeat,Electrolyte Imbalance
"Doctor, I've had burning sensation when urinating, cloudy urine and strong smelling urine for the past few days.",Urinary Tract Infection
Feeling digestive upset,Chronic Stress / Burnout
Feeling fatigue,COVID-19
"I have dry cough, loss of taste or smell and body aches, what could this be?",COVID-19
"Patient reports low blood pressure, nausea and dizziness with increasing discomfort.",Addison's Disease
"I've been dealing with throbbing headache, light sensitivity, sound sensitivity and visual aura and it is getting worse.",Migraine
I have rash,Chikungunya
"I'm experiencing fever, tiredness, loss of appetite and headache.",Chickenpox
Feeling pitted fingernails,Alopecia Areata
I have exclamation point hairs,Alopecia Areata
"Patient presenting with tingling around bite site, fever, anxiety",Rabies Exposure
"Noticed severe dizziness on standing, extreme fatigue, palpitations",Postural Orthostatic Tachycardia (POTS)
I have cognitive brain fog,Fibromyalgia
"Woke up today with hard dry stools, feeling of incomplete evacuation, abdominal fullness and bloating.",Constipation
"I cannot sleep because of weak urine stream, frequent nighttime urination, dribbling after urination and urinary urgency.",Benign Prostatic Hyperplasia
"Doctor, I've had smooth red tongue, memory problems and pale or jaundiced skin for the past few days.",Vitamin B12 Deficiency
"I have emotional exhaustion, reduced personal accomplishment and frequent headaches, what could this be?",Chronic Stress / Burnout
I cannot sleep because of weak urine stream and difficulty starting urination.,Benign Prostatic Hyperplasia
I've been dealing with severe acne and thinning hair on scalp and it is getting worse.,Polycystic Ovary Syndrome
"Lately I have been feeling watery diarrhea, stomach cramps, body aches and dehydration.",Gastroenteritis
"My main issues right now are rapid heart rate upon standing, dizziness on standing, trembling and extreme fatigue.",Postural Orthostatic Tachycardia (POTS)
"I'm experiencing sudden one-sided facial paralysis, drooping mouth, drooling and loss of taste.",Bell's Palsy
Feeling fatigue,Influenza
I have tender red bumps (papules),Acne Vulgaris
"Suffering from fatigue, yellowing of skin and eyes, dark urine",Hepatitis B
I have light sensitivity,Migraine with Aura
"Lately I have been feeling chronic fatigue, joint aches, mild upper right abdominal discomfort and loss of appetite.",Hepatitis C
"I've been dealing with gas, fatigue and skin rash and it is getting worse.",Celiac Disease
I have rebound tenderness,Appendicitis
"Noticed severe high blood pressure, high fasting blood glucose, high triglycerides",Metabolic Syndrome
"Experiencing muscle cramps, sunken eyes, low blood pressure",Cholera
"It started yesterday with tingling in hands and feet, memory problems and unsteady balance.",Vitamin B12 Deficiency
"Been having constant severe lower left abdominal pain, constipation, bloating",Diverticulitis
I have blind spots,Migraine with Aura
"Woke up today with nasal congestion, thick nasal discharge and headache.",Sinusitis
"Suffering from dizziness, confusion, hunger",Hypoglycemia
I've been dealing with fluid draining from ear and irritability and it is getting worse.,Otitis Media
I have blurred vision,Hypertension
"It started yesterday with shortness of breath, persistent cough and difficulty breathing.",Asthma
Feeling high fever,Measles
I've been dealing with throbbing headache and sound sensitivity and it is getting worse.,Migraine
Feeling belching,Gastritis
I have body aches,Gastroenteritis
Clinical notes: Patient presenting with tender warm swollen joints and fatigue.,Rheumatoid Arthritis
"Been having pain radiating to left arm neck or jaw, shortness of breath, severe nausea",Heart Attack
"Patient presenting with tingling in face or hands, throbbing head pain, light sensitivity",Migraine with Aura
"It started yesterday with purple stretch marks, easy bruising, high blood pressure and muscle weakness.",Cushing's Syndrome
"Doctor, I've had emotional exhaustion and frequent headaches for the past few days.",Chronic Stress / Burnout
"I have shortness of breath with exertion, excess sputum, chest tightness and fatigue, what could this be?",COPD
Clinical notes: Patient presenting with rapid heart rate and trembling hands.,Hyperthyroidism
"Been having upper abdominal pain, bloating, loss of appetite",Gastritis
I have muscle cramps,Cholera
"I have confusion and numbness in fingers, what could this be?",Electrolyte Imbalance
Feeling brittle nails,Iron Deficiency Anemia
"Feeling fever, bloating, abdominal tenderness",Diverticulitis
I have petechiae (superficial pinpoint purple spots on skin),Thrombocytopenia
"Doctor, I've had bone pain, frequent infections and low mood for the past few days.",Vitamin D Deficiency
Feeling tingling or numbness in arms or fingers,Cervical Spondylosis
Feeling headache,Rabies Exposure
"Over the last 48 hours, I noticed persistent fatigue and nausea.",Chronic Kidney Disease
"I have difficulty falling asleep and waking up during the night, what could this be?",Insomnia Disorder
"Over the last 48 hours, I noticed heartburn and acid regurgitation.",GERD
"Doctor, I've had thick nasal discharge and headache for the past few days.",Sinusitis
I have chest pressure on exertion,Coronary Artery Disease
"Feeling circular red itchy rash with raised edges, scaly skin, cracked skin",Fungal Skin Infection
"Experiencing bone pain, frequent infections, hair loss",Vitamin D Deficiency
"Patient presenting with rapid heartbeat, dizziness, blurred vision",Hypoglycemia
"I have profuse watery diarrhea, vomiting, muscle cramps",Cholera
"Doctor, I've had waking up too early, daytime fatigue, irritability",Insomnia Disorder
I feel terrible with restlessness and sleep disturbance.,Generalized Anxiety Disorder
"Been having swelling in ankles and feet, foamy urine, nausea",Chronic Kidney Disease
"I cannot sleep because of throbbing headache, light sensitivity, visual aura and dizziness.",Migraine
I have skin rash,Celiac Disease
"Woke up today with nasal congestion, thick nasal discharge and pressure around eyes.",Sinusitis
"I cannot sleep because of red rash localized to area of contact, severe itching, bumps and blisters and burning sensation.",Contact Dermatitis
"I've been dealing with facial pain, headache and reduced smell and it is getting worse.",Sinusitis
"Been having bullseye skin rash, body aches, swollen lymph nodes",Lyme Disease
"Feeling unintended weight loss, sweating, anxiety",Hyperthyroidism
"Been having body aches, stiff neck, swollen lymph nodes",Lyme Disease
"I feel terrible with extreme thirst, dizziness upon standing and infrequent urination.",Dehydration
I have itching,Shingles
"Suffering from dull aching head pain, tightness across forehead and neck stiffness, need medical guidance.",Tension Headache
"Patient presenting with itchy fluid-filled blisters, fever, loss of appetite",Chickenpox
Experiencing acute facial pain and headache.,Sinusitis
Lately I have been feeling dry cracked scaly skin and burning sensation.,Contact Dermatitis
"Clinical notes: Patient presenting with sharp chest pain worse when lying down, fever and heart palpitations.",Pericarditis
"I have dull aching head pain, neck stiffness, shoulder tension",Tension Headache
"Suffering from low blood pressure, salt cravings, nausea",Addison's Disease
Experiencing pain radiating to jaw or left arm,Coronary Artery Disease
"Suffering from watery diarrhea, mild fever, body aches",Gastroenteritis
Experiencing nausea,Diverticulitis
Feeling temporary confusion,Epilepsy
"Noticed severe severe sore throat, fever, swollen neck lymph nodes",Pharyngitis
I have cynicism and detachment,Chronic Stress / Burnout
"Experiencing wheezing, chest tightness, persistent cough",Asthma
I have shortness of breath,Asthma
"Noticed severe fever, fatigue, swollen lymph nodes",Lyme Disease
"Noticed severe coughing blood, night sweats, chest pain",Tuberculosis
"Suffering from fever, fatigue, shortness of breath",COVID-19
Experiencing acute fear of being judged or embarrassed and blushing and sweating around people.,Social Anxiety Disorder
Clinical notes: Patient presenting with poor appetite and joint pain.,Hepatitis B
Experiencing shivering chills,Malaria
"I've been dealing with cough, tiny white spots inside mouth and blotchy skin rash and it is getting worse.",Measles
It started yesterday with sudden high fever and skin rash.,Dengue Fever
"I feel terrible with sudden intense terror, chest tightness, sweating and trembling.",Panic Disorder
"Over the last 48 hours, I noticed abdominal pain, dark urine and pale stools.",Hepatitis A
Feeling jaundice,Hepatitis C
"I've been dealing with racing heartbeat, slow heartbeat and lightheadedness and it is getting worse.",Arrhythmia
"I've been dealing with bleeding gums, bruising easily and fatigue and it is getting worse.",Scurvy
"I've been dealing with red swollen tender skin area, skin warm to touch, fever and blisters over red area and it is getting worse.",Cellulitis
"My main issues right now are chronic fatigue, low mood and hair loss.",Vitamin D Deficiency
Feeling daytime fatigue,Insomnia Disorder
"Doctor, I've had burning sensation in eyes, stinging eyes, scratchy feeling and stringy mucus in eyes for the past few days.",Dry Eye Syndrome
Woke up today with swelling in one calf or leg and throbbing calf pain.,Deep Vein Thrombosis
"Noticed severe fever, fatigue, stiff neck",Lyme Disease
"Suffering from constant severe lower left abdominal pain, fever, bloating and abdominal tenderness, need medical guidance.",Diverticulitis
My main issues right now are severe sore throat and swollen neck lymph nodes.,Pharyngitis
"Experiencing bright red rectal bleeding, itching around anus, pain during bowel movements",Hemorrhoids
"Doctor, I've had rapid heart rate upon standing, dizziness on standing, trembling",Postural Orthostatic Tachycardia (POTS)
Experiencing weak pulse in legs,Peripheral Artery Disease
"My main issues right now are dry cough, loss of taste or smell and shortness of breath.",COVID-19
Experiencing restlessness,Cluster Headache
Feeling shivering chills,Pyelonephritis
"Over the last 48 hours, I noticed irregular periods, thinning hair on scalp, weight gain and ovarian cysts.",Polycystic Ovary Syndrome
"Clinical notes: Patient presenting with difficulty starting urination, frequent nighttime urination, dribbling after urination and urinary urgency.",Benign Prostatic Hyperplasia
"Patient presenting with round moon face, purple stretch marks, muscle weakness",Cushing's Syndrome
"Suffering from hyperpigmentation (darkened skin), low blood pressure, salt cravings",Addison's Disease
"Patient reports resting tremor, muscle stiffness, impaired balance and shuffling gait with increasing discomfort.",Parkinson's Disease
"Doctor, I've had abdominal pain and dark urine for the past few days.",Hepatitis A
Experiencing fever,Diverticulitis
"Noticed severe irregular heartbeat, numbness in fingers, extreme fatigue",Electrolyte Imbalance
"Over the last 48 hours, I noticed gasping for air during sleep and excessive daytime sleepiness.",Sleep Apnea
"Suffering from burning localized pain, fluid-filled blisters on one side of body and fever, need medical guidance.",Shingles
"Feeling fatigue, unexplained weight gain, constipation",Hypothyroidism
Feeling muscle pain,Chikungunya
Lately I have been feeling abdominal cramping and food intolerance.,Irritable Bowel Syndrome
"My main issues right now are high blood pressure, high fasting blood glucose and low HDL cholesterol.",Metabolic Syndrome
Woke up today with emotional exhaustion and cynicism and detachment.,Chronic Stress / Burnout
"I'm experiencing severe sharp flank pain, nausea and painful urination.",Kidney Stones
"I cannot sleep because of frequent nighttime urination, tingling in hands and feet and darkened skin patches.",Diabetes Type 2
"I have rapid heartbeat, dizziness, confusion and blurred vision, what could this be?",Hypoglycemia
"Suffering from hoarseness, dry throat and dry cough, need medical guidance.",Laryngitis
"Experiencing burning sensation in eyes, stinging eyes, blurred vision after reading",Dry Eye Syndrome
"Doctor, I've had burning stomach, nausea and bloating for the past few days.",Gastritis
"I cannot sleep because of sweating, hunger and blurred vision.",Hypoglycemia
Feeling iron deficiency,Celiac Disease
"Doctor, I've had severe sore throat, pain with swallowing and red swollen tonsils for the past few days.",Pharyngitis
"Woke up today with temporary numbness on one side, brief speech slurring, temporary dizziness and arm weakness.",Transient Ischemic Attack (TIA)
"Suffering from morning headache, dizziness, nosebleeds",Hypertension
"Suffering from waking up during the night, daytime fatigue, irritability",Insomnia Disorder
"Noticed severe cyclical high fever, profuse sweating, body ache",Malaria
Experiencing slow-healing cuts,Diabetes Type 2
"Clinical notes: Patient presenting with gas, mucus in stool and food intolerance.",Irritable Bowel Syndrome
"I cannot sleep because of frequent urination, extreme hunger, fatigue and blurred vision.",Diabetes Type 1
Clinical notes: Patient presenting with runny nose and nasal congestion.,Common Cold
I'm experiencing dark yellow urine and infrequent urination.,Dehydration
"Doctor, I've had fatigue, poor appetite, joint pain and nausea for the past few days.",Hepatitis B
"Experiencing trembling hands, sweating, bulging eyes",Hyperthyroidism
"I have bruising easily and joint and muscle aches, what could this be?",Scurvy
Experiencing red to brownish-gray patches,Eczema
"Suffering from extreme thirst, frequent urination, unintended weight loss and extreme hunger, need medical guidance.",Diabetes Type 1
"Doctor, I've had blackheads and whiteheads, tender red bumps (papules) and deep painful cystic lumps for the past few days.",Acne Vulgaris
Experiencing red sores around nose and mouth,Impetigo
"I've been dealing with burning stomach pain between meals, bloating and nausea and it is getting worse.",Peptic Ulcer
It started yesterday with high fever and shortness of breath.,Pneumonia
It started yesterday with chills and body aches.,Lyme Disease
I've been dealing with extreme fatigue and salt cravings and it is getting worse.,Addison's Disease
I cannot sleep because of loss of appetite and metallic taste in mouth.,Chronic Kidney Disease
"Experiencing acute bone pain, muscle weakness, chronic fatigue and hair loss.",Vitamin D Deficiency
Clinical notes: Patient presenting with straining during bowel movements and feeling of incomplete evacuation.,Constipation
I'm experiencing tingling around bite site and anxiety.,Rabies Exposure
